tag,condition,seed,noise_type,eta,transition_epoch,p,n_train,hidden,batch_size,epochs_ran,epochs_planned,eval_every,lr,weight_decay,grok_threshold,grok_consecutive,num_corrupted,time_to_grok,time_to_0.80,time_to_0.90,final_test_acc,final_train_acc,gap_area,phase1_final_test_acc,phase1_grokked,wall_time_sec,stopped_early,status
temporal_clean_input_dep_eta0.04_t50000_seed0,clean,0,input_dep,0.04,50000,97,5000,256,512,46000,200000,2000,0.001,0.02,0.95,5,200,38000,22000,30000,0.9653523222446594,1.0,5.6149120204059955,,False,811.4967868328094,True,completed
temporal_A_input_dep_eta0.04_t50000_seed0,A,0,input_dep,0.04,50000,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,200,,,,0.4189605696673398,0.9832,57.86872972685726,,False,5180.817960977554,False,completed
temporal_B_input_dep_eta0.04_t50000_seed0,B,0,input_dep,0.04,50000,97,5000,256,512,46000,200000,2000,0.001,0.02,0.95,5,200,38000,22000,30000,0.9653523222446594,1.0,5.6149120204059955,,False,1383.0698268413544,True,completed
temporal_C_input_dep_eta0.04_t50000_seed0,C,0,input_dep,0.04,50000,97,5000,256,512,88000,200000,2000,0.001,0.02,0.95,5,200,80000,66000,72000,0.9739611010734404,1.0,18.893423105537252,0.3978106068657668,False,1549.8143949508667,True,completed
temporal_D_input_dep_eta0.04_t50000_seed0,D,0,input_dep,0.04,50000,97,5000,256,512,104000,200000,2000,0.001,0.02,0.95,5,200,96000,76000,82000,0.9628015729620576,1.0,21.38284812413647,0.3978106068657668,False,5895.547921180725,True,completed
